Hospital Name,City,State,Current Contract Holder,Contract Expiry Date,Net Total Births,Month
PROVIDENCE HOOD RIVER MEM HOSP,HOOD RIVER,OR,Abbott Exclusive,2025-02-28,355,2025-02
PROVIDENCE HOLY FAMILY HOSPITAL,SPOKANE,WA,Abbott Exclusive,2025-02-28,1170,2025-02
PROVIDENCE MOUNT CARMEL HOSPITAL,COLVILLE,WA,Abbott Exclusive,2025-02-28,191,2025-02
SAINT LUKES CUSHING HOSPITAL,LEAVENWORTH,KS,Abbott Exclusive,2025-02-28,0,2025-02
SAINT LUKES EAST HOSPITAL,LEES SUMMIT,MO,Abbott Exclusive,2025-02-28,2215,2025-02
SAINT LUKES HOSPITAL OF KANSAS CITY,KANSAS CITY,MO,Abbott Exclusive,2025-02-28,3746,2025-02
SOUTH CENTRAL KANSAS MEDICAL CTR,ARKANSAS CITY,KS,Choice,2025-02-28,6,2025-02
SMITH COUNTY MEMORIAL HOSPITAL,SMITH CENTER,KS,Choice,2025-02-28,54,2025-02
SLIDELL MEMORIAL HOSPITAL,SLIDELL,LA,Abbott Exclusive,2025-02-28,1505,2025-02
SLIDELL MEMORIAL HOSP EAST,SLIDELL,LA,Abbott Exclusive,2025-02-28,0,2025-02
SKY LAKES MEDICAL CTR,KLAMATH FALLS,OR,Choice,2025-02-28,750,2025-02
SKOKIE HOSPITAL,SKOKIE,IL,Other,2025-02-28,0,2025-02
SOUTH COAST GLOBAL MEDICAL CTR,SANTA ANA,CA,MJN Exclusive,2025-02-28,396,2025-02
SIDNEY HEALTH CENTER,SIDNEY,MT,Choice,2025-02-28,236,2025-02
SHRINERS HOSPITALS FOR CHILDREN,SACRAMENTO,CA,Other,2025-02-28,0,2025-02
SHRINERS HOSPITALS FOR CHILDREN,HOUSTON,TX,Other,2025-02-28,0,2025-02
SHRINERS HOSPITALS FOR CHILDREN,HONOLULU,HI,Other,2025-02-28,0,2025-02
SHRINERS HOSPITALS FOR CHILDREN,CHICAGO,IL,Other,2025-02-28,0,2025-02
SHORE MEMORIAL HOSPITAL,SOMERS POINT,NJ,Abbott Exclusive,2025-02-28,1440,2025-02
SHARP MARY BIRCH HOSPITAL,SAN DIEGO,CA,MJN Exclusive,2025-02-28,7962,2025-02
SHRINERS HOSPITALS FOR CHILDREN,SHREVEPORT,LA,Other,2025-02-28,0,2025-02
SHARP GROSSMONT HOSPITAL,LA MESA,CA,MJN Exclusive,2025-02-28,2918,2025-02
SOUTH GEORGIA MEDICAL CENTER,VALDOSTA,GA,MJN Exclusive,2025-02-28,2157,2025-02
SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,MJN Exclusive,2025-02-28,1821,2025-02
SPECTRUM HEALTH UNITED HOSPITAL,GREENVILLE,MI,Abbott Exclusive,2025-02-28,511,2025-02
SPECTRUM HEALTH LUDINGTON HOSP,LUDINGTON,MI,Abbott Exclusive,2025-02-28,360,2025-02
SPECTRUM HEALTH BUTTERWORTH HOSP,GRAND RAPIDS,MI,Abbott Exclusive,2025-02-28,8345,2025-02
SPECTRUM HEALTH BIG RAPIDS HOSPITAL,BIG RAPIDS,MI,Abbott Exclusive,2025-02-28,382,2025-02
SPEARE MEMORIAL HOSPITAL,PLYMOUTH,NH,Choice,2025-02-28,170,2025-02
SPARTANBURG REGIONAL MEDICAL CENTER,SPARTANBURG,SC,Abbott Exclusive,2025-02-28,3775,2025-02
SOUTHEAST GEORGIA HEALTH SYSTEM,SAINT MARYS,GA,MJN Exclusive,2025-02-28,880,2025-02
SPARROW IONIA HOSPITAL,IONIA,MI,Other,2025-02-28,0,2025-02
SPALDING REGIONAL HOSPITAL,GRIFFIN,GA,MJN Exclusive,2025-02-28,1032,2025-02
SOUTHWESTERN VERMONT MEDICAL CTR,BENNINGTON,VT,Choice,2025-02-28,430,2025-02
SOUTHWEST MISSISSIPPI REG MED CTR,MCCOMB,MS,Abbott Exclusive,2025-02-28,903,2025-02
SOUTHVIEW MEDICAL CENTER,DAYTON,OH,Abbott Exclusive,2025-02-28,1860,2025-02
SOUTHERN OHIO MEDICAL CENTER,PORTSMOUTH,OH,MJN Exclusive,2025-02-28,946,2025-02
SOUTHERN CALIFORNIA HOSPITAL,CULVER CITY,CA,Other,2025-02-28,0,2025-02
SPARROW HOSPITAL,LANSING,MI,Other,2025-02-28,0,2025-02
SHARP CHULA VISTA MEDICAL CENTER,CHULA VISTA,CA,MJN Exclusive,2025-02-28,2374,2025-02
SHARON HOSPITAL,SHARON,CT,Choice,2025-02-28,216,2025-02
SHARE MEDICAL CENTER,ALVA,OK,Other,2025-02-28,0,2025-02
SANFORD MEDICAL CENTER SHELDON,SHELDON,IA,Abbott Exclusive,2025-02-28,151,2025-02
SANFORD MEDICAL CENTER LUVERNE,LUVERNE,MN,Abbott Exclusive,2025-02-28,111,2025-02
SANFORD MEDICAL CENTER FARGO,FARGO,ND,Abbott Exclusive,2025-02-28,2852,2025-02
SANFORD MED CTR WORTHINGTON,WORTHINGTON,MN,Abbott Exclusive,2025-02-28,350,2025-02
SANFORD MED CTR THIEF RIVER FALLS,THIEF RIVER FALLS,MN,Abbott Exclusive,2025-02-28,245,2025-02
SANFORD HEALTH VERMILLION CAMPUS,VERMILLION,SD,Abbott Exclusive,2025-02-28,80,2025-02
SANFORD USD MED CTR,SIOUX FALLS,SD,Abbott Exclusive,2025-02-28,2980,2025-02
SANFORD HEALTH,BISMARCK,ND,Abbott Exclusive,2025-02-28,1544,2025-02
SANFORD BEMIDJI MEDICAL CENTER,BEMIDJI,MN,Abbott Exclusive,2025-02-28,860,2025-02
SAN LUIS VALLEY HEALTH REG MED CTR,ALAMOSA,CO,MJN Exclusive,2025-02-28,603,2025-02
SAMARITAN PACIFIC COMM HOSP,NEWPORT,OR,MJN Exclusive,2025-02-28,200,2025-02
SALINAS VALLEY MEM HOSP,SALINAS,CA,Abbott Exclusive,2025-02-28,1971,2025-02
SAINT LUKES SOUTH HOSPITAL,OVERLAND PARK,KS,Abbott Exclusive,2025-02-28,0,2025-02
SAINT LUKES NORTH HOSPITAL BARRY RD,KANSAS CITY,MO,Abbott Exclusive,2025-02-28,1982,2025-02
SANFORD CHAMBERLAIN MEDICAL CTR,CHAMBERLAIN,SD,Choice,2025-02-28,126,2025-02
SANTA ROSA MEMORIAL HOSPITAL,SANTA ROSA,CA,Abbott Exclusive,2025-02-28,1650,2025-02
SARAH BUSH LINCOLN HLTH,MATTOON,IL,MJN Exclusive,2025-02-28,801,2025-02
SCHOOLCRAFT MEMORIAL HOSPITAL,MANISTIQUE,MI,Other,2025-02-28,0,2025-02
SENTARA WILLIAMSBURG REG MED CTR,WILLIAMSBURG,VA,MJN Exclusive,2025-02-28,804,2025-02
SENTARA VIRGINIA BEACH GEN HOSP,VIRGINIA BEACH,VA,Other,2025-02-28,0,2025-02
SENTARA RMH MEDICAL CENTER,HARRISONBURG,VA,MJN Exclusive,2025-02-28,1720,2025-02
SENTARA PRINCESS ANNE HOSPITAL,VIRGINIA BEACH,VA,MJN Exclusive,2025-02-28,2399,2025-02
SENTARA OBICI HOSPITAL,SUFFOLK,VA,MJN Exclusive,2025-02-28,1540,2025-02
SENTARA NORTHERN VIRGINIA MED CTR,WOODBRIDGE,VA,MJN Exclusive,2025-02-28,1565,2025-02
SENTARA NORFOLK GENERAL HOSPITAL,NORFOLK,VA,MJN Exclusive,2025-02-28,3340,2025-02
SENTARA MARTHA JEFFERSON HOSP,CHARLOTTESVILLE,VA,MJN Exclusive,2025-02-28,1188,2025-02
SENTARA LEIGH HOSPITAL,NORFOLK,VA,MJN Exclusive,2025-02-28,3515,2025-02
SENTARA CAREPLEX HOSPITAL,HAMPTON,VA,MJN Exclusive,2025-02-28,997,2025-02
SENTARA ALBEMARLE MEDICAL CENTER,ELIZABETH CITY,NC,MJN Exclusive,2025-02-28,360,2025-02
SELF REGIONAL MEDICAL CENTER,GREENWOOD,SC,MJN Exclusive,2025-02-28,1618,2025-02
SEATTLE CHILDREN'S HOSPITAL,SEATTLE,WA,Abbott Exclusive,2025-02-28,1000,2025-02
SCOTT COUNTY HOSPITAL,SCOTT CITY,KS,Choice,2025-02-28,59,2025-02
SCOTLAND CO MEM HOSP,MEMPHIS,MO,Choice,2025-02-28,80,2025-02
PIH HEALTH HOSPITAL - DOWNEY,DOWNEY,CA,Abbott Exclusive,2025-02-28,1120,2025-02
HURLEY MEDICAL CENTER,FLINT,MI,Abbott Exclusive,2025-02-28,2822,2025-02
MERCY HOSPITAL PERRY,PERRYVILLE,MO,MJN Exclusive,2025-02-28,103,2025-02
ZEELAND COMMUNITY HOSPITAL,ZEELAND,MI,Abbott Exclusive,2025-02-28,505,2025-02
DEACONESS GATEWAY HOSPITAL,NEWBURGH,IN,MJN Exclusive,2025-02-28,277,2025-02
DEACONESS HOSPITAL,EVANSVILLE,IN,MJN Exclusive,2025-02-28,10,2025-02
DECATUR MEM HOSP,DECATUR,IL,MJN Exclusive,2025-02-28,856,2025-02
DECATUR MORGAN HOSPITAL,DECATUR,AL,Other,2025-02-28,0,2025-02
BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,MJN Exclusive,2025-02-28,5130,2025-02
DELANO REGIONAL MEDICAL CENTER,DELANO,CA,MJN Exclusive,2025-02-28,605,2025-02
DELTA HEALTH NORTHWEST REGIONAL,CLARKSDALE,MS,MJN Exclusive,2025-02-28,882,2025-02
DELTA REGIONAL MEDICAL CENTER,GREENVILLE,MS,MJN Exclusive,2025-02-28,650,2025-02
DENVER HEALTH MEDICAL CENTER,DENVER,CO,Abbott Exclusive,2025-02-28,3788,2025-02
DICKINSON MEMORIAL HOSPITAL,IRON MOUNTAIN,MI,Choice,2025-02-28,375,2025-02
BAPTIST MEDICAL CENTER DOWNTOWN,JACKSONVILLE,FL,Abbott Exclusive,2025-02-28,3066,2025-02
DISTRICT ONE HOSPITAL,FARIBAULT,MN,Abbott Exclusive,2025-02-28,253,2025-02
BAPTIST MEDICAL CENTER BEACHES,JACKSONVILLE BEACH,FL,Abbott Exclusive,2025-02-28,894,2025-02
DOCTORS MEMORIAL HOSPITAL INC,PERRY,FL,Other,2025-02-28,0,2025-02
DONALSONVILLE HOSPITAL,DONALSONVILLE,GA,Other,2025-02-28,0,2025-02
DORMINY MEDICAL CENTER,FITZGERALD,GA,MJN Exclusive,2025-02-28,0,2025-02
DOUGLAS COUNTY MEM HOSP,ARMOUR,SD,Other,2025-02-28,0,2025-02
BAPTIST HOSPITAL,PENSACOLA,FL,MJN Exclusive,2025-02-28,998,2025-02
DOUGLAS HOSPITAL INC,DOUGLASVILLE,GA,MJN Exclusive,2025-02-28,475,2025-02
DOYLESTOWN HOSPITAL,DOYLESTOWN,PA,Abbott Exclusive,2025-02-28,840,2025-02
BAPTIST HEALTH MEDICAL CENTER,MALVERN,AR,Other,2025-02-28,0,2025-02
DAYTON CHILDRENS HOSPITAL,DAYTON,OH,Abbott Exclusive,2025-02-28,663,2025-02
EAST ALABAMA MEDICAL CENTER,OPELIKA,AL,Abbott Exclusive,2025-02-28,2430,2025-02
DAY KIMBALL HOSPITAL,PUTNAM,CT,Abbott Exclusive,2025-02-28,406,2025-02
CRISP REGIONAL HOSPITAL,CORDELE,GA,Abbott Exclusive,2025-02-28,305,2025-02
BAPTIST MEM HOSP N MISSISSIPPI,OXFORD,MS,Abbott Exclusive,2025-02-28,1102,2025-02
COMMUNITY MEDICAL CENTER,TOMS RIVER,NJ,Abbott Exclusive,2025-02-28,1665,2025-02
COOK CHILDRENS MED CTR,FORT WORTH,TX,Abbott Exclusive,2025-02-28,5020,2025-02
COOK CHILDRENS MEDICAL CENTER,PROSPER,TX,Abbott Exclusive,2025-02-28,50,2025-02
COOKEVILLE REGIONAL MEDICAL CTR,COOKEVILLE,TN,Abbott Exclusive,2025-02-28,2085,2025-02
COOPER UNIVERSITY HOSPITAL,CAMDEN,NJ,Abbott Exclusive,2025-02-28,3043,2025-02
COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,MJN Exclusive,2025-02-28,531,2025-02
BAPTIST MEM HOSP GOLDEN TRIANGLE,COLUMBUS,MS,Abbott Exclusive,2025-02-28,886,2025-02
COREWELL SOUTHWEST MICHIGAN,SAINT JOSEPH,MI,Abbott Exclusive,2025-02-28,1106,2025-02
COTEAU DES PRAIRIES HOSP,SISSETON,SD,Abbott Exclusive,2025-02-28,106,2025-02
COVENANT HEALTH HOBBS HOSPITAL,HOBBS,NM,Abbott Exclusive,2025-02-28,200,2025-02
COVENANT HOSPITAL LEVELLAND,LEVELLAND,TX,Abbott Exclusive,2025-02-28,225,2025-02
COVENANT HOSPITAL PLAINVIEW,PLAINVIEW,TX,Abbott Exclusive,2025-02-28,385,2025-02
COVENANT MEDICAL CENTER,LUBBOCK,TX,Other,2025-02-28,0,2025-02
COVENANT MEDICAL CENTER HARRISON,SAGINAW,MI,Abbott Exclusive,2025-02-28,3653,2025-02
COVENANT WOMENS AND CHILDRENS,LUBBOCK,TX,Abbott Exclusive,2025-02-28,3440,2025-02
COX MEDICAL CENTER BRANSON,BRANSON,MO,Abbott Exclusive,2025-02-28,645,2025-02
COX MONETT HOSPITAL,MONETT,MO,Abbott Exclusive,2025-02-28,145,2025-02
BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,MJN Exclusive,2025-02-28,1109,2025-02
CPMC MISSION BERNAL CAMPUS HOSP,SAN FRANCISCO,CA,Abbott Exclusive,2025-02-28,0,2025-02
CRETE AREA MED CTR,CRETE,NE,Abbott Exclusive,2025-02-28,98,2025-02
CROSSROADS COMMUNITY HOSPITAL,MOUNT VERNON,IL,Other,2025-02-28,0,2025-02
BAPTIST MEMORIAL HOSP DESOTO,SOUTHAVEN,MS,Abbott Exclusive,2025-02-28,1374,2025-02
BOONE HOSP CENTER,COLUMBIA,MO,MJN Exclusive,2025-02-28,2020,2025-02
EASTSIDE MEDICAL CENTER,SNELLVILLE,GA,Abbott Exclusive,2025-02-28,1251,2025-02
ASPIRUS RIVERVIEW HOSPITAL,WISCONSIN RAPIDS,WI,Abbott Exclusive,2025-02-28,479,2025-02
FOOTHILL PRESBY HOSP,GLENDORA,CA,Other,2025-02-28,0,2025-02
ASPIRUS MEDFORD HOSPITAL,MEDFORD,WI,Abbott Exclusive,2025-02-28,154,2025-02
ASPIRUS KEWEENAW HOSPITAL,LAURIUM,MI,Choice,2025-02-28,195,2025-02
FORT HAMILTON HOSPITAL,HAMILTON,OH,Abbott Exclusive,2025-02-28,645,2025-02
FORT SANDERS REGIONAL MEDICAL CTR,KNOXVILLE,TN,Choice,2025-02-28,2958,2025-02
ASPIRUS IRONWOOD HOSPITAL,IRONWOOD,MI,Abbott Exclusive,2025-02-28,105,2025-02
ASANTE ASHLAND COMM HOSPITAL,ASHLAND,OR,Abbott Exclusive,2025-02-28,240,2025-02
ARROWHEAD MEDICAL CTR,COLTON,CA,Abbott Exclusive,2025-02-28,2643,2025-02
ARNOT OGDEN MEDICAL CENTER,ELMIRA,NY,MJN Exclusive,2025-02-28,1241,2025-02
ARKANSAS METHODIST HOSP,PARAGOULD,AR,Choice,2025-02-28,471,2025-02
ARKANSAS CHILDRENS HOSPITAL,LITTLE ROCK,AR,MJN Exclusive,2025-02-28,2207,2025-02
ANTELOPE MEMORIAL HOSP,NELIGH,NE,Choice,2025-02-28,60,2025-02
ANAHEIM GLOBAL MEDICAL CENTER,ANAHEIM,CA,MJN Exclusive,2025-02-28,0,2025-02
FREEMAN HOSPITAL,JOPLIN,MO,MJN Exclusive,2025-02-28,2242,2025-02
AMBERWELL HIAWATHA,HIAWATHA,KS,Choice,2025-02-28,94,2025-02
AMBERWELL ATCHISON,ATCHISON,KS,Choice,2025-02-28,113,2025-02
FULTON COUNTY HEALTH CENTER,WAUSEON,OH,MJN Exclusive,2025-02-28,210,2025-02
ALTRU HEALTH SYSTEM,GRAND FORKS,ND,Abbott Exclusive,2025-02-28,1732,2025-02
ALTON MEMORIAL HOSPITAL,ALTON,IL,MJN Exclusive,2025-02-28,877,2025-02
GARFIELD MEDICAL CENTER,MONTEREY PARK,CA,Abbott Exclusive,2025-02-28,2934,2025-02
ASPIRUS WAUSAU HOSPITAL,WAUSAU,WI,Abbott Exclusive,2025-02-28,1248,2025-02
EAST OHIO REGIONAL HOSPITAL,MARTINS FERRY,OH,Abbott Exclusive,2025-02-28,0,2025-02
ASTRIA SUNNYSIDE HOSPITAL,SUNNYSIDE,WA,MJN Exclusive,2025-02-28,438,2025-02
FHN MEMORIAL HOSP,FREEPORT,IL,MJN Exclusive,2025-02-28,247,2025-02
EDWARD HOSPITAL,NAPERVILLE,IL,MJN Exclusive,2025-02-28,3491,2025-02
BALTIMORE WASHINGTON MEDICAL CENTER,GLEN BURNIE,MD,Abbott Exclusive,2025-02-28,745,2025-02
EL PASO CHILDRENS HOSPITAL,EL PASO,TX,MJN Exclusive,2025-02-28,950,2025-02
ELMHURST MEMORIAL HOSPITAL,ELMHURST,IL,MJN Exclusive,2025-02-28,2926,2025-02
EMANATE HEALTH QUEEN OF THE,WEST COVINA,CA,MJN Exclusive,2025-02-28,3540,2025-02
ENGLEWOOD HOSPITAL & MEDICAL CENTER,ENGLEWOOD,NJ,Abbott Exclusive,2025-02-28,2895,2025-02
ERLANGER AT HUTCHESON,FORT OGLETHORPE,GA,Other,2025-02-28,0,2025-02
ESKENAZI HEALTH,INDIANAPOLIS,IN,Abbott Exclusive,2025-02-28,3210,2025-02
AVERA GRANITE FALLS HEALTH CENTER,GRANITE FALLS,MN,Abbott Exclusive,2025-02-28,35,2025-02
AULTMAN HOSPITAL,CANTON,OH,MJN Exclusive,2025-02-28,3489,2025-02
EVANSTON HOSP,EVANSTON,IL,MJN Exclusive,2025-02-28,3372,2025-02
AUGUSTA UNIVERSITY MEDICAL CENTER,AUGUSTA,GA,MJN Exclusive,2025-02-28,1973,2025-02
EXCELA WESTMORELAND HOSPITAL,GREENSBURG,PA,Choice,2025-02-28,1152,2025-02
AUGUSTA HEALTH,FISHERSVILLE,VA,Abbott Exclusive,2025-02-28,1194,2025-02
F F THOMPSON HOSPITAL,CANANDAIGUA,NY,MJN Exclusive,2025-02-28,677,2025-02
ATRIUM MEDICAL CENTER,MIDDLETOWN,OH,Abbott Exclusive,2025-02-28,907,2025-02
ATRIUM HEALTH FLOYD MEDICAL CTR,ROME,GA,Abbott Exclusive,2025-02-28,2260,2025-02
ATLANTICARE REGIONAL MEDICAL CTR,POMONA,NJ,MJN Exclusive,2025-02-28,2100,2025-02
ATHENS-LIMESTONE HOSPITAL,ATHENS,AL,MJN Exclusive,2025-02-28,1317,2025-02
FALMOUTH HOSPITAL,FALMOUTH,MA,Choice,2025-02-28,0,2025-02
ASTRIA TOPPENISH HOSPITAL,TOPPENISH,WA,Abbott Exclusive,2025-02-28,357,2025-02
FISHER-TITUS MEDICAL CENTER,NORWALK,OH,Abbott Exclusive,2025-02-28,366,2025-02
GEARY CO COMM HOSP,JUNCTION CITY,KS,Abbott Exclusive,2025-02-28,208,2025-02
COMMUNITY HOSPITAL,ONAGA,KS,Choice,2025-02-28,85,2025-02
COMANCHE CO MEM HOSP,LAWTON,OK,Abbott Exclusive,2025-02-28,1386,2025-02
BEAUREGARD MEM HOSPITAL,DERIDDER,LA,Abbott Exclusive,2025-02-28,466,2025-02
CARRIS HEALTH REDWOOD HOSPITAL,REDWOOD FALLS,MN,Abbott Exclusive,2025-02-28,125,2025-02
CASS CO MEMORIAL HOSP,ATLANTIC,IA,Abbott Exclusive,2025-02-28,110,2025-02
CAYUGA MEDICAL CENTER AT ITHACA,ITHACA,NY,MJN Exclusive,2025-02-28,813,2025-02
CENTRA LYNCHBURG GEN HOSPITAL,LYNCHBURG,VA,Choice,2025-02-28,0,2025-02
CENTRACARE HEALTH  - MONTICELLO,MONTICELLO,MN,Abbott Exclusive,2025-02-28,269,2025-02
CENTRACARE HEALTH - MELROSE,MELROSE,MN,Abbott Exclusive,2025-02-28,160,2025-02
CENTRACARE HEALTH - PAYNESVILLE,PAYNESVILLE,MN,Abbott Exclusive,2025-02-28,95,2025-02
CENTRACARE HEALTH SYSTEM,SAUK CENTRE,MN,Abbott Exclusive,2025-02-28,245,2025-02
CENTRACARE LONG PRAIRIE HOSPITAL,LONG PRAIRIE,MN,Abbott Exclusive,2025-02-28,138,2025-02
BEAUFORT MEMORIAL HOSPITAL,BEAUFORT,SC,MJN Exclusive,2025-02-28,1785,2025-02
BEATRICE COMMUNITY HOSP,BEATRICE,NE,Abbott Exclusive,2025-02-28,191,2025-02
BAYLOR UNIVERSITY MED CTR DALLAS,DALLAS,TX,Abbott Exclusive,2025-02-28,4358,2025-02
CHAMPLAIN VALLEY PHYSICIANS HOSP,PLATTSBURGH,NY,MJN Exclusive,2025-02-28,869,2025-02
BAYLOR SCOTT AND WHITE MED CTR,LAKEWAY,TX,Abbott Exclusive,2025-02-28,115,2025-02
BAYLOR SCOTT & WHITE MEDICAL CTR,WAXAHACHIE,TX,Abbott Exclusive,2025-02-28,990,2025-02
CHENANGO MEMORIAL HOSPITAL,NORWICH,NY,MJN Exclusive,2025-02-28,201,2025-02
CHESHIRE MEDICAL CENTER,KEENE,NH,Abbott Exclusive,2025-02-28,458,2025-02
CHESTER COUNTY HOSPITAL,WEST CHESTER,PA,Other,2025-02-28,3178,2025-02
BAYLOR SCOTT & WHITE MEDICAL CTR,ROWLETT,TX,Abbott Exclusive,2025-02-28,1318,2025-02
BAYLOR SCOTT & WHITE MEDICAL CTR,ROUND ROCK,TX,Abbott Exclusive,2025-02-28,938,2025-02
CAPITAL REGION MED CTR,JEFFERSON CITY,MO,MJN Exclusive,2025-02-28,846,2025-02
BAYLOR SCOTT & WHITE MEDICAL CTR,MCKINNEY,TX,Abbott Exclusive,2025-02-28,2081,2025-02
CAPITAL HEALTH REGIONAL MED CENTER,TRENTON,NJ,Other,2025-02-28,0,2025-02
BELLEVUE HOSPITAL,BELLEVUE,OH,Abbott Exclusive,2025-02-28,348,2025-02
BON SECOURS COMMUNITY HOSPITAL,PORT JERVIS,NY,Other,2025-02-28,0,2025-02
BOULDER COMMUNITY HOSPITAL,BOULDER,CO,Abbott Exclusive,2025-02-28,963,2025-02
BOX BUTTE GENERAL HOSP,ALLIANCE,NE,Abbott Exclusive,2025-02-28,55,2025-02
BOZEMAN DEAC HOSP,BOZEMAN,MT,Abbott Exclusive,2025-02-28,1276,2025-02
BIBB MEDICAL CENTER,CENTREVILLE,AL,MJN Exclusive,2025-02-28,110,2025-02
BETHESDA NORTH HOSPITAL,CINCINNATI,OH,Abbott Exclusive,2025-02-28,3670,2025-02
BETHANY CHILDRENS HEALTH CENTER,BETHANY,OK,Other,2025-02-28,63,2025-02
BRONSON BATTLE CREEK,BATTLE CREEK,MI,Abbott Exclusive,2025-02-28,870,2025-02
BRONSON METHODIST HOSPITAL,KALAMAZOO,MI,Abbott Exclusive,2025-02-28,4207,2025-02
BROWARD HEALTH CORAL SPRINGS,CORAL SPRINGS,FL,MJN Exclusive,2025-02-28,1902,2025-02
BROWARD HEALTH MEDICAL CENTER,FORT LAUDERDALE,FL,MJN Exclusive,2025-02-28,3736,2025-02
BRYAN MEDICAL CENTER,LINCOLN,NE,Abbott Exclusive,2025-02-28,3116,2025-02
BRYN MAWR HOSPITAL,BRYN MAWR,PA,Abbott Exclusive,2025-02-28,1940,2025-02
CALDWELL MEMORIAL HOSPITAL,LENOIR,NC,Abbott Exclusive,2025-02-28,0,2025-02
CALIFORNIA PACIFIC,SAN FRANCISCO,CA,Abbott Exclusive,2025-02-28,0,2025-02
CALVERT MEMORIAL HOSPITAL,PRINCE FREDERICK,MD,Choice,2025-02-28,630,2025-02
CAMBRIDGE HOSPITAL CAMPUS,CAMBRIDGE,MA,Choice,2025-02-28,1005,2025-02
CAMERON REG MED CENTER,CAMERON,MO,Choice,2025-02-28,8,2025-02
CAMPBELL COUNTY MEM HOSP,GILLETTE,WY,MJN Exclusive,2025-02-28,720,2025-02
BENEFIS HOSPITALS INC,GREAT FALLS,MT,MJN Exclusive,2025-02-28,1800,2025-02
BELLIN MEM HOSP,GREEN BAY,WI,Abbott Exclusive,2025-02-28,1319,2025-02
CAPE REGIONAL MEDICAL CENTER,CAPE MAY COURT HOUSE,NJ,MJN Exclusive,2025-02-28,0,2025-02
COMM HOSP OF ANACONDA,ANACONDA,MT,Choice,2025-02-28,205,2025-02
BAYLOR SCOTT & WHITE MEDICAL CTR,LLANO,TX,Abbott Exclusive,2025-02-28,0,2025-02
BAYLOR SCOTT & WHITE MEDICAL CTR,GRAPEVINE,TX,Abbott Exclusive,2025-02-28,3320,2025-02
BARNES ST PETERS HOSP,SAINT PETERS,MO,MJN Exclusive,2025-02-28,0,2025-02
CHILDRENS NATIONAL MEDICAL CENTER,WASHINGTON,DC,Abbott Exclusive,2025-02-28,874,2025-02
CHRIST HOSPITAL,JERSEY CITY,NJ,Other,2025-02-28,0,2025-02
CHRISTUS GOOD SHEPHERD MEDICAL CTR,MARSHALL,TX,Other,2025-02-28,0,2025-02
CHRISTUS MOTHER FRANCES SULPHUR SPG,SULPHUR SPRINGS,TX,Abbott Exclusive,2025-02-28,636,2025-02
CINCINNATI CHILDRENS HOSP MED CTR,CINCINNATI,OH,Abbott Exclusive,2025-02-28,4750,2025-02
CITIZENS MEDICAL CENTER,COLBY,KS,Choice,2025-02-28,185,2025-02
CLARA MAASS MEDICAL CENTER,BELLEVILLE,NJ,Abbott Exclusive,2025-02-28,1960,2025-02
CLARK FORK VALLEY HOSP,PLAINS,MT,Choice,2025-02-28,20,2025-02
CLAY COUNTY MEDICAL CENTER,CLAY CENTER,KS,MJN Exclusive,2025-02-28,54,2025-02
CLEVELAND CLINIC INDIAN RIVER,VERO BEACH,FL,MJN Exclusive,2025-02-28,1005,2025-02
CLINCH MEMORIAL HOSPITAL,HOMERVILLE,GA,Other,2025-02-28,0,2025-02
BAPTIST MEMORIAL HOSPITAL TIPTON,COVINGTON,TN,Abbott Exclusive,2025-02-28,240,2025-02
BAPTIST MEMORIAL HOSP UNION COUNTY,NEW ALBANY,MS,Abbott Exclusive,2025-02-28,1221,2025-02
COBB HOSPITAL INC,AUSTELL,GA,MJN Exclusive,2025-02-28,3096,2025-02
COFFEE REGIONAL MEDICAL CENTER,DOUGLAS,GA,MJN Exclusive,2025-02-28,1000,2025-02
COFFEY COUNTY HOSPITAL,BURLINGTON,KS,Choice,2025-02-28,65,2025-02
COLLEGE MEDICAL CENTER,LONG BEACH,CA,Choice,2025-02-28,0,2025-02
BAPTIST MEMORIAL HOSP UNION CITY,UNION CITY,TN,Abbott Exclusive,2025-02-28,550,2025-02
COLUMBUS COMM HOSP,COLUMBUS,NE,Abbott Exclusive,2025-02-28,565,2025-02
BAPTIST MEMORIAL HOSP FOR WOMEN,MEMPHIS,TN,Abbott Exclusive,2025-02-28,5300,2025-02
CHILDRENS MINNESOTA,SAINT PAUL,MN,Abbott Exclusive,2025-02-28,781,2025-02
BAYLOR SCOTT & WHITE MEDICAL CTR,IRVING,TX,Abbott Exclusive,2025-02-28,2967,2025-02
CHILDRENS MERCY SOUTH,OVERLAND PARK,KS,MJN Exclusive,2025-02-28,105,2025-02
CHILDRENS HOSPITAL ST PAUL,SAINT PAUL,MN,Abbott Exclusive,2025-02-28,781,2025-02
BAYLOR SCOTT & WHITE MEDICAL CTR,GARLAND,TX,Other,2025-02-28,0,2025-02
BAYLOR SCOTT & WHITE MEDICAL CTR,COLLEGE STATION,TX,Abbott Exclusive,2025-02-28,1788,2025-02
BAYLOR SCOTT & WHITE MEDICAL CTR,BRENHAM,TX,Choice,2025-02-28,606,2025-02
BAYLOR SCOTT & WHITE MCLANE,TEMPLE,TX,Abbott Exclusive,2025-02-28,20,2025-02
